Emoji,Description
🌍,Globe showing europe-africa
🌏,Globe showing asia-australia
🌐,Globe - Worldwide internet connection
🗾,Map of japan
🧭,Compass
🏔️,Snow-capped mountain
⛰️,Mountain
🌋,Volcano
🏕️,Camping
🏖️,Beach with umbrella
🏜️,Desert
🏝️,Desert island
🌃,Night with stars
🏙️,Cityscape
🌉,Bridge at night
🏠,House
🏡,House with garden
🏢,Office building
🏣,Japanese post office
🏥,Hospital
🏦,Bank
🏨,Hotel
⛪,Church
🕌,Mosque
🕍,Synagogue
⛩️,Shinto shrine
🕋,Kaaba
🗽,Statue of liberty
🗼,Tokyo tower
🏯,Japanese castle
🏰,Castle
⛲,Fountain
🗿,Moai
🚂,Locomotive
🚆,Train
🚇,Metro
🚝,Light rail
🚋,Tram car
🚌,Bus
🚎,Trolleybus
🚕,Taxi
🚗,Automobile
🚙,Sport utility vehicle
🚚,Delivery truck
🚛,Articulated lorry
🚜,Tractor
🚲,Bicycle
🛴,Kick scooter
🛵,Motor scooter
🏍️,Motorcycle
🛺,Auto rickshaw
🚨,Police car light
🚑,Ambulance
 fire_engine,Fire engine
🚓,Police car
✈️,Airplane
🛫,Airplane departure
🛬,Airplane arrival
🚁,Helicopter
🚀,"Rocket - Fast, powerful, and futuristic"
🛰️,Satellite - Space communication
🛸,Flying saucer
🚢,Ship
⛵,Sailboat
🚤,Speedboat
⚓,Anchor
🚧,Construction
⛽,Gas pump
🚦,Vertical traffic light
🚥,Horizontal traffic light
⌚,Watch
📱,Mobile Phone - Modern smartphone icon
📲,Mobile phone with arrow
💻,Laptop - Classic computer symbol
⌨️,Keyboard
🖥️,Desktop computer
🖨️,Printer
🖱️,Computer mouse
💾,Floppy Disk - Data storage and tech nostalgia
💿,Optical disk
📀,Dvd
🧮,Abacus
🔭,Telescope
🔬,Microscope - Science and research
💡,Light Bulb - Ideas and innovation
🔦,Flashlight
🔋,Battery
🔌,Electric plug
🔧,Wrench
🔨,Hammer
🔩,Nut and bolt
⚙️,Gear
🔪,Kitchen knife
⚔️,Crossed Swords - Battle and strength
🛡️,Shield - Protection and security
🔫,Pistol - Action and power
🏹,Bow and arrow
💣,Bomb
🚬,Cigarette
💰,Money bag
💴,Yen banknote
💵,Dollar banknote
💶,Euro banknote
💷,Pound banknote
💳,Credit card
🧾,Receipt
✉️,Envelope
📧,E-mail
📥,Inbox tray
📤,Outbox tray
📦,Package
📫,Closed mailbox with raised flag
📪,Closed mailbox with lowered flag
🔔,Bell
🔕,Bell with slash
📓,Notebook
📔,Notebook with decorative cover
📒,Ledger
📚,Books
📖,Open book
🔖,Bookmark
📎,Paperclip
📌,Pushpin
📍,Round pushpin
📐,Triangular ruler
📏,Straight ruler
✂️,Scissors
🔒,Locked - Security and privacy
🔑,Key - Access and secrets
🗝️,Old key
🚪,Door
🛋️,Couch and lamp
🛏️,Bed
🖼️,Framed picture
🎈,Balloon
🎁,Wrapped gift
🎉,Party popper
🎊,Confetti ball
🎀,Ribbon
🪄,Magic wand
🎵,Musical Note - Music and rhythm
🎶,Musical notes
🎤,Microphone - Voice and performance
🎧,Headphone - Audio and music
🎷,Saxophone
🎸,Guitar - Rock music and instruments
🎹,Musical keyboard
🎺,Trumpet
🥁,Drum
🎬,Clapper board
🎨,Artist palette
🎰,Slot machine
🎲,Game die
🎳,Bowling
🎮,Video Game - Gaming and entertainment
🕹️,Joystick
♠️,Black spade suit
♥️,Red heart suit
♦️,Red diamond suit
♣️,Black club suit
🕐,One o’clock
🕑,Two o’clock
🕒,Three o’clock
🕓,Four o’clock
🕔,Five o’clock
🕕,Six o’clock
🕖,Seven o’clock
🕗,Eight o’clock
🕘,Nine o’clock
🕙,Ten o’clock
🕚,Eleven o’clock
🕛,Twelve o’clock
🌟,Glowing star
⭐,Star - Bright and shining
☀️,Sun
🌙,Crescent moon
☁️,Cloud
🌧️,Cloud with rain
🌩️,Cloud with lightning
❄️,Snowflake - Cold and pure
🔥,Fire - Hot and intense
💧,Droplet
🌈,Rainbow - Colorful and magical
❤️,Red Heart - Love and passion
🧡,Orange heart
💛,Yellow heart
💚,Green Heart - Nature and growth
💙,Blue Heart - Calm and peaceful
💜,Purple Heart - Royal and mysterious
🖤,Black Heart - Dark and mysterious
🤍,White Heart - Pure and clean
🤎,Brown heart
💔,Broken heart
💯,Hundred points
✅,Check mark button
❌,Cross mark
❓,Question mark
❕,Exclamation mark
⚠️,Warning
🆘,Sos
